fecha,procedencia,personas
2022-04-14,Polonia,22
2022-04-14,Oceanía,0
2022-04-14,Alemania,15
2022-04-15,América del Sur,0
2022-04-15,España,20
2022-04-15,Polonia,7
2022-04-15,Gran Bretaña,0
2022-04-15,R. Checa,12
2022-04-15,Asia y Oriente Próx.,1
2022-04-15,Oceanía,1
2022-04-15,Francia,15
2022-04-15,Austria,4
2022-04-15,R. Eslovaca,1
2022-04-15,África,0
2022-04-15,América del Norte,2
2022-04-15,Alemania,18
2022-04-15,Italia,0
2022-04-15,Europa,12
2022-04-15,Estonia-Letonia-Lituania,0
2022-04-15,Residente,0
2022-04-15,Rusia,0
2022-04-16,R. Eslovaca,2
2022-04-16,Oceanía,0
2022-04-16,Europa,11
2022-04-16,Italia,5
2022-04-16,Austria,0
2022-04-16,Rusia,1
2022-04-16,América del Sur,1
2022-04-16,Estonia-Letonia-Lituania,4
2022-04-16,América del Norte,4
2022-04-16,R. Checa,3
2022-04-16,Alemania,23
2022-04-16,Gran Bretaña,4
2022-04-16,Francia,15
2022-04-16,Polonia,7
2022-04-16,Asia y Oriente Próx.,0
2022-04-16,África,0
2022-04-16,Residente,0
2022-04-16,España,33
2022-04-17,Asia y Oriente Próx.,0
2022-04-17,Gran Bretaña,4
2022-04-17,R. Checa,5
2022-04-17,Austria,0
2022-04-17,Europa,35
2022-04-17,Italia,5
2022-04-17,Alemania,13
2022-04-17,América del Norte,1
2022-04-17,España,26
2022-04-17,Rusia,1
2022-04-17,Estonia-Letonia-Lituania,0
2022-04-17,Polonia,7
2022-04-17,América del Sur,1
2022-04-17,Residente,8
2022-04-17,R. Eslovaca,0
2022-04-17,Francia,3
2022-04-17,Oceanía,0
2022-04-17,África,0
2022-04-23,Residente,7
2022-04-23,Rusia,0
2022-04-23,Austria,0
2022-04-23,Estonia-Letonia-Lituania,0
2022-04-23,América del Sur,0
2022-04-23,Asia y Oriente Próx.,0
2022-04-23,América del Norte,0
2022-04-23,África,0
2022-04-23,Gran Bretaña,9
2022-04-23,Francia,7
2022-04-23,Europa,4
2022-04-23,R. Checa,2
2022-04-23,Oceanía,0
2022-04-23,Alemania,31
